pos00,pos01,pos02,pos10,pos11,pos12,pos20,pos21,pos22,player,step,result,game_id,state
0,0,0,1,0,0,0,0,0,1,0,1,876,start
0,0,0,1,0,-1,0,0,0,-1,1,1,876,mid
0,0,0,1,0,-1,1,0,0,1,2,1,876,mid
0,0,0,1,0,-1,1,0,-1,-1,3,1,876,mid
1,0,0,1,0,-1,1,0,-1,1,4,1,876,end
0,0,0,0,0,0,1,0,0,1,0,1,877,start
0,0,0,-1,0,0,1,0,0,-1,1,1,877,mid
1,0,0,-1,0,0,1,0,0,1,2,1,877,mid
1,-1,0,-1,0,0,1,0,0,-1,3,1,877,mid
1,-1,1,-1,0,0,1,0,0,1,4,1,877,mid
1,-1,1,-1,0,-1,1,0,0,-1,5,1,877,mid
1,-1,1,-1,0,-1,1,1,0,1,6,1,877,mid
1,-1,1,-1,0,-1,1,1,-1,-1,7,1,877,mid
1,-1,1,-1,1,-1,1,1,-1,1,8,1,877,end
0,0,0,0,0,0,0,0,1,1,0,1,878,start
-1,0,0,0,0,0,0,0,1,-1,1,1,878,mid
-1,0,0,0,0,1,0,0,1,1,2,1,878,mid
-1,0,0,-1,0,1,0,0,1,-1,3,1,878,mid
-1,0,0,-1,0,1,1,0,1,1,4,1,878,mid
-1,0,0,-1,-1,1,1,0,1,-1,5,1,878,mid
-1,0,0,-1,-1,1,1,1,1,1,6,1,878,end
0,1,0,0,0,0,0,0,0,1,0,0,879,start
-1,1,0,0,0,0,0,0,0,-1,1,0,879,mid
-1,1,0,0,0,1,0,0,0,1,2,0,879,mid
-1,1,-1,0,0,1,0,0,0,-1,3,0,879,mid
-1,1,-1,1,0,1,0,0,0,1,4,0,879,mid
-1,1,-1,1,0,1,0,-1,0,-1,5,0,879,mid
-1,1,-1,1,0,1,0,-1,1,1,6,0,879,mid
-1,1,-1,1,-1,1,0,-1,1,-1,7,0,879,mid
-1,1,-1,1,-1,1,1,-1,1,1,8,0,879,end
0,0,0,0,0,0,0,0,1,1,0,0,880,start
